Time,x_d,y_d,theta_d,v_d,delta_
0,0,0,0,1,0
0.050202,0.050704,0,0,1,0
0.100405,0.101408,0,0,1,0
0.150607,0.152113,0,0,1,0
0.20081,0.202817,0,0,1,0
0.251012,0.253521,0,0,1,0
0.301215,0.304225,0,0,1,0
0.351417,0.35493,0,0,1,0
0.401619,0.405634,0,0,1,0
0.451822,0.456338,0,0,1,0
0.502024,0.507042,0,0,1,0
0.552227,0.557746,0,0,1,0
0.602429,0.608451,0,0,1,0
0.652632,0.659155,0,0,1,0
0.702834,0.709859,0,0,1,0
0.753036,0.760563,0,0,1,0
0.803239,0.811268,0,0,1,0
0.853441,0.861972,0,0,1,0
0.903644,0.912676,0,0,1,0
0.953846,0.96338,0,0,1,0
1.004049,1.014085,0,0,1,0
1.054251,1.064789,0,0,1,0
1.104453,1.115493,0,0,1,0
1.154656,1.166197,0,0,1,0
1.204858,1.216901,0,0,1,0
1.255061,1.267606,0,0,1,0
1.305263,1.31831,0,0,1,0
1.355466,1.369014,0,0,1,0
1.405668,1.419718,0,0,1,0
1.45587,1.470423,0,0,1,0
1.506073,1.521127,0,0,1,0
1.556275,1.571831,0,0,1,0
1.606478,1.622535,0,0,1,0
1.65668,1.673239,0,0,1,0
1.706883,1.723944,0,0,1,0
1.757085,1.774648,0,0,1,0
1.807287,1.825352,0,0,1,0
1.85749,1.876056,0,0,1,0
1.907692,1.926761,0,0,1,0
1.957895,1.977465,0,0,1,0
2.008097,2.028169,0,0,1,0
2.0583,2.078873,0,0,1,0
2.108502,2.129577,0,0,1,0
2.158704,2.180282,0,0,1,0
2.208907,2.230986,0,0,1,0
2.259109,2.28169,0,0,1,0
2.309312,2.332394,0,0,1,0
2.359514,2.383099,0,0,1,0
2.409717,2.433803,0,0,1,0
2.459919,2.484507,0,0,1,0
2.510121,2.535211,0,0,1,0
2.560324,2.585915,0,0,1,0
2.610526,2.63662,0,0,1,0
2.660729,2.687324,0,0,1,0
2.710931,2.738028,0,0,1,0
2.761134,2.788732,0,0,1,0
2.811336,2.839437,0,0,1,0
2.861538,2.890141,0,0,1,0
2.911741,2.940845,0,0,1,0
2.961943,2.991549,0,0,1,0
3.012146,3.042254,0,0,1,0
3.062348,3.092958,0,0,1,0
3.112551,3.143662,0,0,1,0
3.162753,3.194366,0,0,1,0
3.212955,3.24507,0,0,1,0
3.263158,3.295775,0,0,1,0
3.31336,3.346479,0,0,1,0
3.363563,3.397183,0,0,1,0
3.413765,3.447887,0,0,1,0
3.463968,3.498592,0,0,1,0
3.51417,3.549296,0,0,1,0
3.564372,3.6,0,0,1,0
3.614575,3.6,0,-0,0.899615,0.211093
3.664777,3.644872,0.000719,0.032057,0.899615,0.211093
3.71498,3.689698,0.002876,0.064114,0.899615,0.211093
3.765182,3.734432,0.006469,0.096171,0.899615,0.211093
3.815385,3.779028,0.011494,0.128228,0.899615,0.211093
3.865587,3.82344,0.017946,0.160285,0.899615,0.211093
3.915789,3.867622,0.025817,0.192342,0.899615,0.211093
3.965992,3.911529,0.035101,0.224399,0.899615,0.211093
4.016194,3.955116,0.045787,0.256457,0.899615,0.211093
4.066397,3.998339,0.057865,0.288514,0.899615,0.211093
4.116599,4.041152,0.071322,0.320571,0.899615,0.211093
4.166802,4.083511,0.086144,0.352628,0.899615,0.211093
4.217004,4.125374,0.102317,0.384685,0.899615,0.211093
4.267206,4.166697,0.119822,0.416742,0.899615,0.211093
4.317409,4.207437,0.138644,0.448799,0.899615,0.211093
4.367611,4.247554,0.158761,0.480856,0.899615,0.211093
4.417814,4.287005,0.180154,0.512913,0.899615,0.211093
4.468016,4.32575,0.2028,0.54497,0.899615,0.211093
4.518219,4.363749,0.226677,0.577027,0.899615,0.211093
4.568421,4.400963,0.251759,0.609084,0.899615,0.211093
4.618623,4.437355,0.278021,0.641141,0.899615,0.211093
4.668826,4.472886,0.305436,0.673198,0.899615,0.211093
4.719028,4.50752,0.333976,0.705255,0.899615,0.211093
4.769231,4.541221,0.363611,0.737313,0.899615,0.211093
4.819433,4.573956,0.394311,0.76937,0.899615,0.211093
4.869636,4.605689,0.426044,0.801427,0.899615,0.211093
4.919838,4.636389,0.458779,0.833484,0.899615,0.211093
4.97004,4.666024,0.49248,0.865541,0.899615,0.211093
5.020243,4.694564,0.527114,0.897598,0.899615,0.211093
5.070445,4.721979,0.562645,0.929655,0.899615,0.211093
5.120648,4.748241,0.599037,0.961712,0.899615,0.211093
5.17085,4.773323,0.636251,0.993769,0.899615,0.211093
5.221053,4.7972,0.67425,1.025826,0.899615,0.211093
5.271255,4.819846,0.712995,1.057883,0.899615,0.211093
5.321457,4.841239,0.752446,1.08994,0.899615,0.211093
5.37166,4.861356,0.792563,1.121997,0.899615,0.211093
5.421862,4.880178,0.833303,1.154054,0.899615,0.211093
5.472065,4.897683,0.874626,1.186112,0.899615,0.211093
5.522267,4.913856,0.916489,1.218169,0.899615,0.211093
5.57247,4.928678,0.958848,1.250226,0.899615,0.211093
5.622672,4.942135,1.001661,1.282283,0.899615,0.211093
